,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
2781,3.0,3.0,71.0,0.3239,0.1268,0.2817,0.0563,0.0,0.0,0.0563,0.0,0.1549,0.3803
2782,3.0,2.0,1363.0,0.7073,0.1387,0.099,0.0242,0.0,0.0007,0.0147,0.0073,0.0081,0.2883
2783,3.0,1.0,6989.0,0.7556,0.1072,0.0504,0.0129,0.0047,0.0001,0.0441,0.0126,0.0124,0.3875
2784,1.0,2.0,271.0,0.8118,0.0996,0.0074,0.0037,0.0,0.0,0.0517,0.0,0.0258,0.1439
2785,1.0,3.0,343.0,0.7318,0.1195,0.0466,0.0321,0.0,0.0,0.0554,0.0,0.0146,0.0612
2786,2.0,2.0,484.0,0.8244,0.0517,0.064,0.0083,0.0041,0.0021,0.0207,0.0,0.0248,0.7789
2787,3.0,2.0,1193.0,0.7318,0.0402,0.0771,0.0251,0.0025,0.0008,0.036,0.0746,0.0117,0.4526
2788,3.0,2.0,1055.0,0.6512,0.1336,0.0882,0.0076,0.0076,0.0019,0.0398,0.0076,0.0626,0.454
2789,3.0,2.0,1750.0,0.7309,0.0463,0.1057,0.0269,0.0029,0.0,0.0251,0.0337,0.0286,0.5154
2790,1.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2791,3.0,1.0,6484.0,0.7213,0.079,0.0996,0.0213,0.0023,0.0002,0.033,0.0076,0.0358,0.4368
2792,3.0,2.0,932.0,0.5955,0.1073,0.0386,0.0129,0.0,0.0,0.044,0.1534,0.0483,0.3841
2793,3.0,2.0,2656.0,0.4846,0.2041,0.1758,0.055,0.0019,0.0008,0.0305,0.0343,0.0132,0.3517
2794,2.0,2.0,1728.0,0.5428,0.1302,0.1499,0.0075,0.0058,0.0023,0.0237,0.0035,0.1343,0.3819
